step,timestamp
announce_received_service1757762311515,4805
announce_received_service1757762311390,4820
announce_received_service1757762311566,4831
announce_received_service1757762311980,4843
announce_received_service1757762311385,4856
announce_received_service1757762311997,4867
announce_received_service1757762311761,4878
announce_received_service1757762311137,4890
announce_received_service1757762311168,4904
announce_received_service1757762311177,4915
announce_received_service1757762311112,4931
announce_received_service1757762311183,4941
announce_received_service1757762311173,4950
announce_received_service1757762311473,4959
announce_received_service1757762311745,4970
announce_received_service1757762311438,4978
required_announces_received,4978
bid_offer_sent_service1757762311515,5251
bid_offer_sent_service1757762311390,5322
bid_offer_sent_service1757762311566,5408
bid_offer_sent_service1757762311980,5480
bid_offer_sent_service1757762311385,5565
bid_offer_sent_service1757762311997,5674
bid_offer_sent_service1757762311761,5755
bid_offer_sent_service1757762311137,5847
bid_offer_sent_service1757762311168,5961
bid_offer_sent_service1757762311177,6064
bid_offer_sent_service1757762311112,6142
bid_offer_sent_service1757762311183,6233
bid_offer_sent_service1757762311173,6328
bid_offer_sent_service1757762311473,6430
bid_offer_sent_service1757762311745,6517
bid_offer_sent_service1757762311438,6603
all_bid_offers_sent,6603
winner_received_service1757762311390,14598
winner_received_service1757762311566,14613
winner_received_service1757762311980,14627
winner_received_service1757762311385,14651
winner_received_service1757762311997,14672
winner_received_service1757762311761,14684
winner_received_service1757762311137,14701
winner_received_service1757762311168,14712
winner_received_service1757762311177,14722
winner_received_service1757762311112,14733
winner_received_service1757762311183,14743
winner_received_service1757762311173,14753
winner_received_service1757762311473,14762
winner_received_service1757762311745,14771
winner_received_service1757762311438,14781
winner_received_service1757762311515,15012
all_winners_received,15012
other_provider_choosen_service1757762311515,15029
other_provider_choosen_service1757762311390,15045
other_provider_choosen_service1757762311566,15058
other_provider_choosen_service1757762311980,15069
other_provider_choosen_service1757762311385,15081
other_provider_choosen_service1757762311997,15092
other_provider_choosen_service1757762311761,15103
other_provider_choosen_service1757762311137,15113
other_provider_choosen_service1757762311168,15124
other_provider_choosen_service1757762311177,15134
other_provider_choosen_service1757762311112,15145
other_provider_choosen_service1757762311183,15155
other_provider_choosen_service1757762311173,15165
other_provider_choosen_service1757762311473,15176
other_provider_choosen_service1757762311745,15186
other_provider_choosen_service1757762311438,15197
no_wins,15197
