step,timestamp
announce_received_service3a23f96c,4692
announce_received_service1d1f48b9,4703
announce_received_serviceb6da6330,4714
announce_received_service1ce04e94,4725
announce_received_service0e27f893,4736
announce_received_servicec31545b3,4746
announce_received_service371157ac,4756
announce_received_service28fa169a,4766
announce_received_service4cdbf333,4776
announce_received_serviceafa91c53,4785
announce_received_serviceb2fdd8f0,4795
announce_received_service5036b895,4805
announce_received_servicec16b7ce8,4815
announce_received_service25e9d271,4828
announce_received_service9a0307c4,4839
announce_received_serviceb0087a42,4850
announce_received_service6b6f917c,4870
announce_received_service5525d232,4881
announce_received_servicef4824ced,4893
announce_received_service08cb7494,4904
announce_received_service02f84335,4915
announce_received_serviceeaf1690f,4936
announce_received_service142cadc5,4949
announce_received_service2807cbe9,4960
required_announces_received,4960
bid_offer_sent_service3a23f96c,5241
bid_offer_sent_service1d1f48b9,5378
bid_offer_sent_serviceb6da6330,5505
bid_offer_sent_service1ce04e94,5670
bid_offer_sent_service0e27f893,5780
bid_offer_sent_servicec31545b3,5895
bid_offer_sent_service371157ac,6036
bid_offer_sent_service28fa169a,6156
bid_offer_sent_service4cdbf333,6280
bid_offer_sent_serviceafa91c53,6381
bid_offer_sent_serviceb2fdd8f0,6492
bid_offer_sent_service5036b895,6606
bid_offer_sent_servicec16b7ce8,6702
bid_offer_sent_service25e9d271,6810
bid_offer_sent_service9a0307c4,6935
bid_offer_sent_serviceb0087a42,7061
bid_offer_sent_service6b6f917c,7168
bid_offer_sent_service5525d232,7261
bid_offer_sent_servicef4824ced,7374
bid_offer_sent_service08cb7494,7479
bid_offer_sent_service02f84335,7591
bid_offer_sent_serviceeaf1690f,7691
bid_offer_sent_service142cadc5,7818
bid_offer_sent_service2807cbe9,7926
all_bid_offers_sent,7926
winner_received_servicec31545b3,14670
winner_received_service3a23f96c,14691
winner_received_serviceb6da6330,14706
winner_received_service1d1f48b9,14719
winner_received_servicec16b7ce8,14731
winner_received_servicef4824ced,14742
winner_received_serviceb0087a42,14752
winner_received_service5036b895,14763
winner_received_service6b6f917c,14772
winner_received_service25e9d271,14782
winner_received_service371157ac,14792
winner_received_service1ce04e94,14806
winner_received_service0e27f893,14827
winner_received_service4cdbf333,14838
winner_received_serviceafa91c53,14855
winner_received_service02f84335,14874
winner_received_service08cb7494,14885
winner_received_service9a0307c4,14896
winner_received_serviceb2fdd8f0,14907
winner_received_service5525d232,14917
winner_received_service142cadc5,14926
winner_received_serviceeaf1690f,14936
winner_received_service2807cbe9,14947
winner_received_service28fa169a,14958
all_winners_received,14958
other_provider_choosen_service3a23f96c,14970
other_provider_choosen_service1d1f48b9,14980
other_provider_choosen_serviceb6da6330,14991
other_provider_choosen_service1ce04e94,15002
other_provider_choosen_service0e27f893,15013
other_provider_choosen_servicec31545b3,15023
other_provider_choosen_service371157ac,15035
other_provider_choosen_service28fa169a,15048
other_provider_choosen_service4cdbf333,15068
other_provider_choosen_serviceafa91c53,15089
other_provider_choosen_serviceb2fdd8f0,15106
other_provider_choosen_service5036b895,15128
other_provider_choosen_servicec16b7ce8,15140
other_provider_choosen_service25e9d271,15153
other_provider_choosen_service9a0307c4,15166
other_provider_choosen_serviceb0087a42,15181
other_provider_choosen_service6b6f917c,15195
other_provider_choosen_service5525d232,15213
other_provider_choosen_servicef4824ced,15229
other_provider_choosen_service08cb7494,15244
other_provider_choosen_service02f84335,15257
other_provider_choosen_serviceeaf1690f,15271
other_provider_choosen_service142cadc5,15285
other_provider_choosen_service2807cbe9,15296
no_wins,15296
