step,timestamp
announce_received_service2195d147,4059
announce_received_service0f9117bc,4069
announce_received_service8f9338fe,4077
required_announces_received,4077
bid_offer_sent_service2195d147,4330
bid_offer_sent_service0f9117bc,4387
bid_offer_sent_service8f9338fe,4442
all_bid_offers_sent,4442
winner_received_service8f9338fe,14033
winner_received_service2195d147,14041
winner_received_service0f9117bc,14048
all_winners_received,14048
deployment_start_service2195d147,14057
deployment_finished_service2195d147,14622
confirm_deployment_sent_service2195d147,14687
deployment_start_service0f9117bc,14698
deployment_finished_service0f9117bc,15335
confirm_deployment_sent_service0f9117bc,15384
deployment_start_service8f9338fe,15397
deployment_finished_service8f9338fe,16009
confirm_deployment_sent_service8f9338fe,16061
all_confirm_deployment_sent,16061
