step,timestamp
announce_received_service1757577632125,4536
announce_received_service1757577632506,4548
announce_received_service1757577632290,4559
required_announces_received,4559
bid_offer_sent_service1757577632125,4631
bid_offer_sent_service1757577632506,4693
bid_offer_sent_service1757577632290,4761
all_bid_offers_sent,4761
winner_received_service1757577632506,14527
winner_received_service1757577632125,14527
winner_received_service1757577632290,14527
all_winners_received,14527
deployment_start_service1757577632125,14542
deployment_finished_service1757577632125,15208
confirm_deployment_sent_service1757577632125,15261
deployment_start_service1757577632506,15273
deployment_finished_service1757577632506,15886
confirm_deployment_sent_service1757577632506,15943
deployment_start_service1757577632290,15955
deployment_finished_service1757577632290,16548
confirm_deployment_sent_service1757577632290,16598
all_confirm_deployment_sent,16598
